retailer,timestamp,category,gender,brand,name,reference_variant,ean,current_price,regular_price,msrp_price,currency,availability,url
Tennis-Heine,2026-07-16 18:59:48,rackets,unisex,Wilson,Wilson Blade 100 V10 Tennisschläger,L3,097512974875,227.9,280.0,280.0,€,in_stock,https://www.tennis-heine.de/wilson-blade-100-v10-tennisschlaeger-5229?c=12
Tennis-Heine,2026-07-16 18:59:48,rackets,unisex,Wilson,Wilson Blade 100L V10 Tennisschläger,L3,097512974813,207.5,250.0,250.0,€,in_stock,https://www.tennis-heine.de/wilson-blade-100l-v10-tennisschlaeger-5231?c=12
Tennis-Heine,2026-07-16 18:59:49,rackets,unisex,Wilson,Wilson Blade 98 16x19 V10 Tennisschläger,L3,097512975094,227.8,290.0,290.0,€,in_stock,https://www.tennis-heine.de/wilson-blade-98-16x19-v10-tennisschlaeger-5222?c=12
Tennis-Heine,2026-07-16 18:59:49,rackets,unisex,Wilson,Wilson Blade 98 18x20 V10 Tennisschläger,L3,097512975032,227.85,290.0,290.0,€,in_stock,https://www.tennis-heine.de/wilson-blade-98-18x20-v10-tennisschlaeger-5223?c=12
Tennis-Heine,2026-07-16 18:59:50,rackets,unisex,Wilson,Wilson Blade 98S V10 Tennisschläger,L3,097512974967,227.85,290.0,290.0,€,in_stock,https://www.tennis-heine.de/wilson-blade-98s-v10-tennisschlaeger-5226?c=12
Tennis-Heine,2026-07-16 19:00:05,rackets,unisex,Wilson,Wilson Ultra 100L V5 desert Tennisschläger,L2,199073012994,192.5,220.0,220.0,€,in_stock,https://www.tennis-heine.de/wilson-ultra-100l-v5-desert-tennisschlaeger-5082?c=12
Tennis-Heine,2026-07-16 19:00:07,rackets,unisex,Wilson,Wilson Ultra 100 V5 Desert Tennisschläger,L3,199073013045,197.5,240.0,240.0,€,in_stock,https://www.tennis-heine.de/wilson-ultra-100-v5-desert-tennisschlaeger-5083?c=12
Tennis-Heine,2026-07-16 19:00:10,rackets,unisex,Head,Head Speed Pro 2026 Tennisschläger,L3,198772135003,183.84,300.0,300.0,€,out_of_stock,https://www.tennis-heine.de/head-speed-pro-2026-tennisschlaeger-4997?c=12
Tennis-Heine,2026-07-16 19:00:11,rackets,unisex,Head,Head Speed Team 2026 Tennisschläger,L3,198772135560,167.8,250.0,250.0,€,in_stock,https://www.tennis-heine.de/head-speed-team-2026-tennisschlaeger-4994?c=12
Tennis-Heine,2026-07-16 19:00:11,rackets,unisex,Wilson,Wilson Pro Staff 97L Classic Tennisschläger,L3,097512974561,154.8,240.0,240.0,€,in_stock,https://www.tennis-heine.de/wilson-pro-staff-97l-classic-tennisschlaeger-4970?c=12
Tennis-Heine,2026-07-16 19:00:12,rackets,unisex,Wilson,Wilson Pro Staff 97L Classic Tennisschläger,L2,097512974578,154.8,240.0,240.0,€,in_stock,https://www.tennis-heine.de/wilson-pro-staff-97l-classic-tennisschlaeger-4970?c=12
Tennis-Heine,2026-07-16 19:00:12,rackets,unisex,Wilson,Wilson Clash 100 V3 Reverse Tennisschläger,L3,199073010860,164.8,250.0,250.0,€,in_stock,https://www.tennis-heine.de/wilson-clash-100-v3-reverse-tennisschlaeger-4965?c=12
Tennis-Heine,2026-07-16 19:00:13,rackets,unisex,Wilson,Wilson Clash 100 V3 Reverse Tennisschläger,L2,199073010877,164.8,250.0,250.0,€,in_stock,https://www.tennis-heine.de/wilson-clash-100-v3-reverse-tennisschlaeger-4965?c=12
Tennis-Heine,2026-07-16 19:00:23,rackets,unisex,Dunlop,Dunlop FX 500 Super Lite 2026 Tennisschläger,L2,0045566185198,137.84,209.99,209.99,€,in_stock,https://www.tennis-heine.de/dunlop-fx-500-super-lite-2026-tennisschlaeger-4912?c=12
Tennis-Heine,2026-07-16 19:00:24,rackets,unisex,Dunlop,Dunlop FX 500 2026 Tennisschläger,L3,0045566185082,139.84,239.99,239.99,€,in_stock,https://www.tennis-heine.de/dunlop-fx-500-2026-tennisschlaeger-4908?c=12
Tennis-Heine,2026-07-16 19:00:24,rackets,unisex,Dunlop,Dunlop FX 500 2026 Tennisschläger,L2,0045566185075,139.84,239.99,239.99,€,in_stock,https://www.tennis-heine.de/dunlop-fx-500-2026-tennisschlaeger-4908?c=12
Tennis-Heine,2026-07-16 19:00:33,rackets,unisex,Head,Head PWR 115 2025 Tennisschläger,L3,198772071219,143.5,200.0,200.0,€,in_stock,https://www.tennis-heine.de/head-pwr-115-2025-tennisschlaeger-4891?c=12
Tennis-Heine,2026-07-16 19:00:33,rackets,unisex,Head,Head PWR 110 2025 Tennisschläger,L3,198772071417,147.9,200.0,200.0,€,in_stock,https://www.tennis-heine.de/head-pwr-110-2025-tennisschlaeger-4892?c=12
Tennis-Heine,2026-07-16 19:00:33,rackets,unisex,Head,Head PWR 110 2025 Tennisschläger,L2,198772071400,147.9,200.0,200.0,€,in_stock,https://www.tennis-heine.de/head-pwr-110-2025-tennisschlaeger-4892?c=12
