retailer,timestamp,category,gender,brand,name,reference_variant,ean,current_price,regular_price,msrp_price,currency,availability,url
Tennis-Point,2026-07-15 19:14:22,rackets,unisex,Dunlop,CX 200 Tour 16x19 Turnierschläger,L2,045566180841,165.95,269.99,,€,in_stock,https://www.tennis-point.de/products/dunlop-cx-200-tour-16x19-turnierschlaeger-01606602343000?_pos=237&_fid=85c741593&_ss=c
Tennis-Point,2026-07-15 19:14:22,rackets,unisex,Dunlop,CX 200 Tour 16x19 Turnierschläger,L3,045566180858,165.95,269.99,,€,in_stock,https://www.tennis-point.de/products/dunlop-cx-200-tour-16x19-turnierschlaeger-01606602343000?_pos=237&_fid=85c741593&_ss=c
Tennis-Point,2026-07-15 19:14:58,rackets,unisex,Dunlop,SX 300 Tour Turnierschläger,L2,0045566182616,156.95,249.99,,€,in_stock,https://www.tennis-point.de/products/dunlop-sx-300-tour-turnierschlaeger-01607502366000?_pos=233&_fid=85c741593&_ss=c
Tennis-Point,2026-07-15 19:14:58,rackets,unisex,Dunlop,SX 300 Tour Turnierschläger,L3,0045566182623,156.95,249.99,,€,in_stock,https://www.tennis-point.de/products/dunlop-sx-300-tour-turnierschlaeger-01607502366000?_pos=233&_fid=85c741593&_ss=c
Tennis-Point,2026-07-15 19:15:05,rackets,unisex,Dunlop,SX 300 Turnierschläger,L2,0045566182654,155.95,239.99,,€,in_stock,https://www.tennis-point.de/products/dunlop-sx-300-turnierschlaeger-01607502367000?_pos=232&_fid=85c741593&_ss=c
Tennis-Point,2026-07-15 19:15:05,rackets,unisex,Dunlop,SX 300 Turnierschläger,L3,0045566182661,155.95,239.99,,€,in_stock,https://www.tennis-point.de/products/dunlop-sx-300-turnierschlaeger-01607502367000?_pos=232&_fid=85c741593&_ss=c
Tennis-Point,2026-07-15 19:15:14,rackets,unisex,Head,Boom MP Orlinski Limited Edition Turnierschläger,L2,0198772007461,178.95,260.0,,€,out_of_stock,https://www.tennis-point.de/products/head-boom-mp-orlinski-limited-edition-turnierschlaeger-00606904498000?_pos=231&_fid=85c741593&_ss=c
Tennis-Point,2026-07-15 19:15:14,rackets,unisex,Head,Boom MP Orlinski Limited Edition Turnierschläger,L3,0198772007478,178.95,260.0,,€,in_stock,https://www.tennis-point.de/products/head-boom-mp-orlinski-limited-edition-turnierschlaeger-00606904498000?_pos=231&_fid=85c741593&_ss=c
Tennis-Point,2026-07-15 19:15:20,rackets,unisex,Wilson,Shift 99L V1 Turnierschläger,L2,00097512962506,139.95,250.0,,€,in_stock,https://www.tennis-point.de/products/wilson-shift-99l-v1-turnierschlaeger-00707004260000?_pos=230&_fid=85c741593&_ss=c
Tennis-Point,2026-07-15 19:15:20,rackets,unisex,Wilson,Shift 99L V1 Turnierschläger,L3,00097512962513,139.95,250.0,,€,in_stock,https://www.tennis-point.de/products/wilson-shift-99l-v1-turnierschlaeger-00707004260000?_pos=230&_fid=85c741593&_ss=c
