retailer,timestamp,category,gender,brand,name,reference_variant,ean,current_price,regular_price,msrp_price,currency,availability,url
Tennistown,2026-06-21 10:26:03,rackets,unisex,Head,Head Tennisschläger Speed MP Ultra Lite 100in/265g/Allround 2026 schwarz/weiss - unbesaitet -,L2,0198772135430,155.25,172.5,230.0,€,in_stock,https://www.tennistown.de/product_info.php?cPath=786_21&products_id=100161
Tennistown,2026-06-21 10:26:03,rackets,unisex,Head,Head Tennisschläger Speed MP Ultra Lite 100in/265g/Allround 2026 schwarz/weiss - unbesaitet -,L3,0198772135447,155.25,172.5,230.0,€,in_stock,https://www.tennistown.de/product_info.php?cPath=786_21&products_id=100161
Tennistown,2026-06-21 10:26:04,rackets,unisex,Head,Head Tennisschläger Speed MP Lite 100in/285g/Allround 2026 schwarz/weiss - unbesaitet -,L2,0198772135317,168.75,187.5,250.0,€,in_stock,https://www.tennistown.de/product_info.php?cPath=786_21&products_id=100160
Tennistown,2026-06-21 10:26:04,rackets,unisex,Head,Head Tennisschläger Speed MP Lite 100in/285g/Allround 2026 schwarz/weiss - unbesaitet -,L3,0198772135324,168.75,187.5,250.0,€,in_stock,https://www.tennistown.de/product_info.php?cPath=786_21&products_id=100160
Tennistown,2026-06-21 10:26:06,rackets,unisex,Head,Head Tennisschläger Boom MP L Alternate 100in/275g 2026 lila - unbesaitet -,L2,0198772140090,164.25,182.5,230.0,€,in_stock,https://www.tennistown.de/product_info.php?cPath=786_21&products_id=102318
Tennistown,2026-06-21 10:26:06,rackets,unisex,Head,Head Tennisschläger Boom MP L Alternate 100in/275g 2026 lila - unbesaitet -,L3,0198772140106,164.25,182.5,230.0,€,in_stock,https://www.tennistown.de/product_info.php?cPath=786_21&products_id=102318
Tennistown,2026-06-21 10:26:09,rackets,unisex,Head,Head Tennisschläger Radical MP #23 98in/300g/Turnier rot/schwarz - unbesaitet -,L2,,161.91,179.9,280.0,€,out_of_stock,https://www.tennistown.de/product_info.php?cPath=786_21&products_id=66809
Tennistown,2026-06-21 10:26:09,rackets,unisex,Head,Head Tennisschläger Radical MP #23 98in/300g/Turnier rot/schwarz - unbesaitet -,L3,,161.91,179.9,280.0,€,out_of_stock,https://www.tennistown.de/product_info.php?cPath=786_21&products_id=66809
Tennistown,2026-06-21 10:26:11,rackets,unisex,Head,Head Tennisschläger Gravity Tour 100in/305g/Turnier 2023 schwarz - unbesaitet -,L2,,151.2,168.0,280.0,€,out_of_stock,https://www.tennistown.de/product_info.php?cPath=786_21&products_id=69457
Tennistown,2026-06-21 10:26:11,rackets,unisex,Head,Head Tennisschläger Gravity Tour 100in/305g/Turnier 2023 schwarz - unbesaitet -,L3,,151.2,168.0,280.0,€,out_of_stock,https://www.tennistown.de/product_info.php?cPath=786_21&products_id=69457
Tennistown,2026-06-21 10:26:23,rackets,unisex,Wilson,Wilson Tennisschläger Shift 99 V1 99in/300g Roland Garros Session Soire 2025 dunkelblau - unbesaitet,L2,0097512892100,161.91,179.9,270.0,€,in_stock,https://www.tennistown.de/product_info.php?cPath=786_21&products_id=97193
Tennistown,2026-06-21 10:26:23,rackets,unisex,Wilson,Wilson Tennisschläger Shift 99 V1 99in/300g Roland Garros Session Soire 2025 dunkelblau - unbesaitet,L3,,161.91,179.9,270.0,€,out_of_stock,https://www.tennistown.de/product_info.php?cPath=786_21&products_id=97193
